image_path,label,crop,split
Cashew leaf miner/leaf miner709_.jpg,Cashew leaf miner,Cashew,train
Tomato septoria leaf spot/septoria leaf spot244_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf spot/leaf spot886_.jpg,Maize leaf spot,Maize,train
Cassava brown spot/brown spot844_.jpg,Cassava brown spot,Cassava,train
Maize streak virus/streak virus590_.jpg,Maize streak virus,Maize,train
Cassava bacterial blight/bacterial blight1648_.jpg,Cassava bacterial blight,Cassava,train
Cashew anthracnose/anthracnose888_.jpg,Cashew anthracnose,Cashew,train
Cashew healthy/healthy100_.jpg,Cashew healthy,Cashew,train
Cassava brown spot/brown spot719_.jpg,Cassava brown spot,Cassava,train
Cassava bacterial blight/bacterial blight209_.jpg,Cassava bacterial blight,Cassava,train
Maize grasshoper/grasshoper224_.jpg,Maize grasshoper,Maize,train
Maize fall armyworm/fall armyworm247_.jpg,Maize fall armyworm,Maize,train
Cassava brown spot/brown spot781_.jpg,Cassava brown spot,Cassava,train
Cassava healthy/healthy1002_.jpg,Cassava healthy,Cassava,train
Maize leaf beetle/leaf beetle579_.jpg,Maize leaf beetle,Maize,train
Cashew red rust/red rust638_.jpg,Cashew red rust,Cashew,train
Maize leaf spot/leaf spot510_.jpg,Maize leaf spot,Maize,train
Cashew red rust/red rust147_.jpg,Cashew red rust,Cashew,train
Cassava brown spot/brown spot1088_.jpg,Cassava brown spot,Cassava,train
Tomato septoria leaf spot/septoria leaf spot1710_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf spot/leaf spot469_.jpg,Maize leaf spot,Maize,train
Cashew anthracnose/anthracnose1638_.jpg,Cashew anthracnose,Cashew,train
Tomato septoria leaf spot/septoria leaf spot2019_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato septoria leaf spot/septoria leaf spot2324_.jpg,Tomato septoria leaf spot,Tomato,train
Cashew red rust/red rust858_.jpg,Cashew red rust,Cashew,train
Maize leaf spot/leaf spot800_.jpg,Maize leaf spot,Maize,train
Maize leaf beetle/leaf beetle609_.jpg,Maize leaf beetle,Maize,train
Tomato verticulium wilt/verticulium wilt115_.jpg,Tomato verticulium wilt,Tomato,train
Cashew healthy/healthy56_.jpg,Cashew healthy,Cashew,train
Cassava green mite/green mite760_.jpg,Cassava green mite,Cassava,train
Maize leaf spot/leaf spot865_.jpg,Maize leaf spot,Maize,train
Cashew leaf miner/leaf miner1243_.jpg,Cashew leaf miner,Cashew,train
Cashew leaf miner/leaf miner1096_.jpg,Cashew leaf miner,Cashew,train
Maize leaf beetle/leaf beetle508_.jpg,Maize leaf beetle,Maize,train
Maize grasshoper/grasshoper564_.jpg,Maize grasshoper,Maize,train
Cashew anthracnose/anthracnose1209_.jpg,Cashew anthracnose,Cashew,train
Maize leaf blight/leaf blight387_.jpg,Maize leaf blight,Maize,train
Cassava mosaic/mosaic680_.jpg,Cassava mosaic,Cassava,train
Cashew anthracnose/anthracnose117_.jpg,Cashew anthracnose,Cashew,train
Maize grasshoper/grasshoper314_.jpg,Maize grasshoper,Maize,train
Maize leaf blight/leaf blight483_.jpg,Maize leaf blight,Maize,train
Maize streak virus/streak virus225_.jpg,Maize streak virus,Maize,train
Cassava bacterial blight/bacterial blight490_.jpg,Cassava bacterial blight,Cassava,train
Cassava bacterial blight/bacterial blight1495_.jpg,Cassava bacterial blight,Cassava,train
Cassava mosaic/mosaic736_.jpg,Cassava mosaic,Cassava,train
Cassava mosaic/mosaic943_.jpg,Cassava mosaic,Cassava,train
Maize streak virus/streak virus949_.jpg,Maize streak virus,Maize,train
Maize streak virus/streak virus1008_.jpg,Maize streak virus,Maize,train
Cassava bacterial blight/bacterial blight1894_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf curl/leaf curl77_.jpg,Tomato leaf curl,Tomato,train
Maize streak virus/streak virus691_.jpg,Maize streak virus,Maize,train
Cassava brown spot/brown spot473_.jpg,Cassava brown spot,Cassava,train
Maize leaf beetle/leaf beetle95_.jpg,Maize leaf beetle,Maize,train
Cassava green mite/green mite709_.jpg,Cassava green mite,Cassava,train
Maize streak virus/streak virus12_.jpg,Maize streak virus,Maize,train
Tomato septoria leaf spot/septoria leaf spot242_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf beetle/leaf beetle693_.jpg,Maize leaf beetle,Maize,train
Cashew leaf miner/leaf miner808_.jpg,Cashew leaf miner,Cashew,train
Tomato verticulium wilt/verticulium wilt90_.jpg,Tomato verticulium wilt,Tomato,train
Cashew anthracnose/anthracnose430_.jpg,Cashew anthracnose,Cashew,train
Cassava brown spot/brown spot618_.jpg,Cassava brown spot,Cassava,train
Tomato leaf curl/leaf curl205_.jpg,Tomato leaf curl,Tomato,train
Tomato leaf blight/leaf blight182_.jpg,Tomato leaf blight,Tomato,train
Maize leaf blight/leaf blight446_.jpg,Maize leaf blight,Maize,train
Maize healthy/healthy192_.jpg,Maize healthy,Maize,train
Cashew leaf miner/leaf miner746_.jpg,Cashew leaf miner,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1124_.jpg,Tomato septoria leaf spot,Tomato,train
Maize streak virus/streak virus359_.jpg,Maize streak virus,Maize,train
Maize streak virus/streak virus785_.jpg,Maize streak virus,Maize,train
Cashew red rust/red rust1668_.jpg,Cashew red rust,Cashew,train
Tomato septoria leaf spot/septoria leaf spot2225_-wWCoNX.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf blight/leaf blight132_.jpg,Tomato leaf blight,Tomato,train
Cashew red rust/red rust817_.jpg,Cashew red rust,Cashew,train
Cassava brown spot/brown spot263_.jpg,Cassava brown spot,Cassava,train
Cashew anthracnose/anthracnose1047_.jpg,Cashew anthracnose,Cashew,train
Cashew healthy/healthy1106_.jpg,Cashew healthy,Cashew,train
Cashew red rust/red rust321_.jpg,Cashew red rust,Cashew,train
Cashew healthy/healthy115_.jpg,Cashew healthy,Cashew,train
Tomato healthy/healthy244_.jpg,Tomato healthy,Tomato,train
Cassava mosaic/mosaic985_.jpg,Cassava mosaic,Cassava,train
Maize streak virus/streak virus874_.jpg,Maize streak virus,Maize,train
Maize leaf blight/leaf blight268_.jpg,Maize leaf blight,Maize,train
Cassava bacterial blight/bacterial blight1470_.jpg,Cassava bacterial blight,Cassava,train
Cashew healthy/healthy198_.jpg,Cashew healthy,Cashew,train
Tomato leaf blight/leaf blight494_.jpg,Tomato leaf blight,Tomato,train
Tomato healthy/healthy33_.jpg,Tomato healthy,Tomato,train
Maize leaf spot/leaf spot1063_.jpg,Maize leaf spot,Maize,train
Cassava bacterial blight/bacterial blight469_.jpg,Cassava bacterial blight,Cassava,train
Cassava healthy/healthy1010_.jpg,Cassava healthy,Cassava,train
Cassava mosaic/mosaic381_.jpg,Cassava mosaic,Cassava,train
