name,carbon_2007,latitude,energy_2000,country,parentcomp_id,carbon_2000,carbon_nextdecade,intensity_2007,company_id,plant_id,longitude,intensity_nextdecade,city_name,energy_2007,energy_nextdecade,intensity_2000,state,state_code,is_renewable,intensity_category,carbon_change_2000_2007,carbon_change_2007_future,energy_change_2000_2007,energy_change_2007_future,carbon_growing,carbon_declining,is_high_emitter,is_clean_plant,size_category,region,intensity_category_low,intensity_category_medium,intensity_category_unknown,size_category_medium,size_category_small,size_category_zero,state_Australian CapitalTerritory,state_AustralianCapital Territory,state_AustralianCapitalTerritory,state_New SouthWales,state_NewSouthWales,state_NorthernTerritory,state_Queensland,state_SouthAustralia,state_Tasmania,state_Victoria,state_WesternAustralia,region_Queensland,region_Tasmania,region_Victoria,company_plants_count,parent_plants_count
120EDWARDSTREET,0.0,-27.46,0.0,Australia,Unknown,0.0,0.0,0.0,FORRESTERKURTS,11,153.02,0.0,Brisbane,72.2335,72.2335,0.0,Queensland,QLD,1,unknown,0.0,0.0,72.2335,0.0,0,0,0,1,small,Queensland,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,382
45 CLARENCESTREET,0.0,-33.87,8.2537,Australia,Unknown,0.0,0.0,0.0,SUSTAINABLE ENERGYDEVAUTH,30,151.21,0.0,Sydney,8.4272,8.4272,0.0,New SouthWales,New SouthWales,1,unknown,0.0,0.0,0.17349999999999888,0.0,0,0,0,1,small,Other,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,382
ADELAIDE AQUATICCENTRE,446.1993,-34.93333,394.0471,Australia,Unknown,416.6093,446.1993,2273.4209,ADELAIDE AQUATICCENTRE,262,138.6,2273.4209,Adelaide,392.5356,392.5356,2114.5149,SouthAustralia,SouthAustralia,0,high,29.589999999999975,0.0,-1.5115000000000123,0.0,1,0,0,0,small,Other,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,382
ADELAIDEBORAL,113.6716,-34.93,89.6309,Australia,ORIGIN ENERGYLTD,105.2043,113.6716,2522.23,ORIGINENERGYLTD,263,138.6,2522.23,Adelaide,90.1358,90.1358,2347.5,SouthAustralia,SouthAustralia,0,high,8.467299999999994,0.0,0.5049000000000063,0.0,1,0,0,0,small,Other,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,8
AIS CANBERRA,129.8841,-35.31,89.4169,Australia,Unknown,104.9708,129.8841,2496.8191,BABCOCK &amp;BROWN,543,149.13,2496.8191,Canberra,104.0397,104.0397,2347.897,AustralianCapitalTerritory,AustralianCapitalTerritory,0,high,24.913299999999992,0.0,14.622799999999998,0.0,1,0,0,0,small,Other,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,382
ALBANYWIND,0.0,-35.02,0.0,Australia,Unknown,0.0,0.0,0.0,VERVEENERGY,825,117.88,0.0,Albany,34789.2305,34789.2305,0.0,WesternAustralia,WesternAustralia,1,unknown,0.0,0.0,34789.2305,0.0,0,0,0,1,medium,Other,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,382
ALEXANDRAHOSPITAL,235.6377,-37.18333,128.627,Australia,Unknown,186.4026,235.6377,3065.7419,ALEXANDRAHOSPITAL,925,145.7,3065.7419,Alexandra,153.7231,153.7231,2898.343,Victoria,VIC,0,high,49.23509999999999,0.0,25.09609999999998,0.0,1,0,0,0,small,Victoria,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,382
ALFREDHOSPITAL,19361.8809,-37.85,22888.7305,Australia,ENERGEXLTD,15880.16725,19361.8809,1707.334,ENERGY IMPACT PTYLTD,944,145.0,1707.334,Prahran,22680.8301,22680.8301,1587.405,Victoria,VIC,0,high,3481.7136499999997,0.0,-207.90040000000226,0.0,1,0,1,0,medium,Victoria,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,7,7
ALINTA(WALKAWAY),0.0,-28.77,0.0,Australia,BABCOCK &amp;BROWN,0.0,0.0,0.0,BABCOCK &amp; BROWN WINDPARTNERS,980,114.62,0.0,Geraldton,102063.5887,143505.5938,0.0,WesternAustralia,WesternAustralia,1,unknown,0.0,0.0,102063.5887,41442.00510000001,0,0,0,1,large,Other,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,4
ALTONA,23609.17725,-37.86666,60647.79775,Australia,Unknown,15880.16725,26895.4297,859.8052,CABOT AUSTRALASIA PTYLTD,1219,144.8333,859.8052,Altona,62561.6914,62561.6914,798.6417,Victoria,VIC,0,medium,7729.01,3286.25245,1913.8936500000054,0.0,1,0,1,0,medium,Victoria,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,382
ALTONAQENOS,5012.2729,-37.86666,46487.0781,Australia,CHINANATIONAL CHEMICALCORP,4758.1318,5012.2729,220.1871,QENOS PTYLTD,1220,144.8333,220.1871,Altona,45527.3906,45527.3906,204.7077,Victoria,VIC,0,low,254.14109999999982,0.0,-959.6875,0.0,1,0,1,0,medium,Victoria,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,2
ALYANGULA,6969.6182,-13.83,9350.7246,Australia,Unknown,6724.397,6969.6182,1549.323,GROOTE EYLANDT MININGCO,1253,136.42,1549.323,Alyangula,8996.9844,8996.9844,1438.262,NorthernTerritory,NorthernTerritory,0,high,245.22119999999995,0.0,-353.7402000000002,0.0,1,0,1,0,medium,Other,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,382
ANGASTON,13251.5596,-34.5,0.0,Australia,Unknown,0.0,13251.5596,1197.6071,INFRATILENERGYAUSTRALIA,1548,139.0333,1197.6071,Angaston,22130.0801,22130.0801,0.0,SouthAustralia,SouthAustralia,0,medium,13251.5596,0.0,22130.0801,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,382
ANNE CAUDLEHOSPITAL,17860.4902,-36.76,21182.9492,Australia,ENERGEXLTD,15880.16725,17860.4902,1717.833,ENERGY IMPACT PTYLTD,1653,144.28,1717.833,Bendigo,20794.2109,20794.2109,1596.105,Victoria,VIC,0,high,1980.3229499999998,0.0,-388.7383000000009,0.0,1,0,1,0,medium,Victoria,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,7,7
ANUSOLAR,0.0,-35.31,58.9548,Australia,Unknown,0.0,0.0,0.0,BABCOCK &amp; BROWN(AUSTRALIA),1756,149.13,0.0,Canberra,60.1946,60.1946,0.0,AustralianCapitalTerritory,AustralianCapitalTerritory,1,unknown,0.0,0.0,1.2398000000000025,0.0,0,0,0,1,small,Other,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,382
APPIN,12260.2402,-34.2,29338.9004,Australia,BHPBILLITON,12045.7002,12260.2402,886.8477,BHPBILLITON,1838,150.7833,886.8477,Appin,27649.0391,27649.0391,821.1422,New SouthWales,New SouthWales,0,medium,214.54000000000087,0.0,-1689.8612999999968,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,5
APPIN COLLIERY,23609.17725,-34.2,60647.79775,Australia,Unknown,15880.16725,35315.901,843.0189,ENERGY DEVELOPMENTS LTD(EDL),1839,150.7833,843.0189,Appin,102063.5887,105221.8984,783.416,New SouthWales,New SouthWales,0,medium,7729.01,11706.723749999997,41415.790949999995,3158.3097000000125,1,0,1,0,large,Other,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13,382
ARGYLE MINES,10481.7695,-17.48333,14424.9697,Australia,Unknown,10002.0703,10481.7695,1223.6689,ARGYLE DIAMOND MINES PTYLTD,2009,140.8333,1223.6689,Kimberly,17131.7109,17131.7109,1386.772,WesternAustralia,WesternAustralia,0,medium,479.6992000000009,0.0,2706.7411999999986,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,382
