x,y,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area,area_log,month_num,day_fri,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,temp_rh_ratio,dc_isi_interaction
7,5.0,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0.1576923076923077,480.92999999999995
7,4.0,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,0.0,10,0,0,0,0,0,1,0,0.5294117647058824,4482.97
7,4.0,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,0.0,10,0,0,1,0,0,0,0,0.4294117647058823,4602.23
8,6.0,mar,fri,91.7,33.3,77.5,9.0,8.3,83,4.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0.09880952380952382,697.5
8,6.0,mar,sun,89.3,51.3,102.2,9.6,11.4,83,1.8,0.0,0.0,0.0,3,0,0,0,1,0,0,0,0.13571428571428573,981.12
8,6.0,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,0.0,8,0,0,0,1,0,0,0,0.74,7173.599999999999
8,6.0,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,0.0,8,0,1,0,0,0,0,0,0.8607142857142858,4212.6
8,6.0,aug,mon,91.5,145.4,608.2,10.7,8.0,83,2.2,0.0,0.0,0.0,8,0,1,0,0,0,0,0,0.09523809523809523,6507.74
8,6.0,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,0.0,9,0,0,0,0,0,1,0,0.2046875,4848.2
7,5.0,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,0.0,9,0,0,1,0,0,0,0,0.5560975609756098,4960.0599999999995
7,5.0,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,0.0,9,0,0,1,0,0,0,0,0.3423076923076923,4960.0599999999995
7,5.0,sep,sat,92.8,73.2,713.0,17.9,19.3,38,4.0,0.0,0.0,0.0,9,0,0,1,0,0,0,0,0.4948717948717949,12762.699999999999
