fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,wine_type,total_acidity,fixed_to_volatile,so2_ratio,sweetness,alcohol_band,is_high_alcohol,sugar_per_density,chlorides_per_alcohol,quality_label
7.4,0.6799999999999999,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,8.08,10.882,0.3235,off_dry,medium,0,1.904,0.00809,0
7.8,0.6799999999999999,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,red,8.48,11.471,0.3731,off_dry,medium,0,2.608,0.01,0
7.8,0.6799999999999999,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,red,8.52,11.471,0.2778,off_dry,medium,0,2.307,0.00939,0
9.65,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,red,10.49,34.464,0.2833,off_dry,medium,0,1.904,0.00765,0
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,red,8.06,11.212,0.325,off_dry,medium,0,1.804,0.00798,0
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,red,8.56,13.167,0.2542,off_dry,medium,0,1.606,0.00734,0
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,red,7.95,11.231,0.7143,off_dry,medium,0,1.207,0.0065,1
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,red,8.4,13.448,0.5,off_dry,medium,0,2.006,0.00768,1
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,8.36,15.0,0.1667,medium,medium,0,6.113,0.00676,0
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,red,7.36,11.552,0.2308,off_dry,medium,0,1.807,0.01054,0
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,red,6.215,9.106,0.2712,off_dry,medium,0,1.609,0.00899,0
7.8,0.61,0.29,1.6,0.10800000000000001,9.0,29.0,0.9974,3.26,0.855,9.1,5,red,8.7,12.787,0.3103,off_dry,medium,0,1.604,0.01187,0
