holdercnt,legal_area,grantyear,grantmonth,grantday,grantdayofweek,grantquarter,startyear,startmonth,startday,startdayofweek,startquarter,endyear,endmonth,endday,enddayofweek,endquarter,is_live,type_COAL MINING LEASE,type_EXPLORATION LICENCE,survstatus_SURVEYED,survstatus_UNSURVEYED,fmt_tenid_freq
1.0,71.6,1952,2,28,3,1,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,72.85,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,64.4,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,127.95,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1951,6,28,3,2,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,121.4,1952,2,28,3,1,1951,3,7,2,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,89.05,1951,6,28,3,2,1951,3,8,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,64.7,1962,2,14,2,1,1961,9,12,1,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1962,10,4,3,4,1962,6,21,3,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,81.455,1982,7,20,1,3,1971,7,23,4,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,81.49,1982,7,20,1,3,1971,7,23,4,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,65.53,1982,7,20,1,3,1971,7,23,4,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.4,1982,7,20,1,3,1971,7,23,4,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,72.5,1982,7,20,1,3,1971,7,25,6,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,69.85,1982,7,20,1,3,1971,7,25,6,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,113.85,1982,7,20,1,3,1971,7,25,6,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,52.4,1982,7,20,1,3,1971,7,25,6,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1982,7,20,1,3,1971,7,29,3,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,80.45,1982,7,20,1,3,1971,7,27,1,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,40.55,1982,7,20,1,3,1971,7,27,1,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,69.9,1982,7,20,1,3,1971,7,27,1,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,75.8,1982,7,20,1,3,1971,7,27,1,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.45,1982,7,20,1,3,1971,7,29,3,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.55,1982,7,20,1,3,1971,7,29,3,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1971,8,4,2,3,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,64.765,1982,7,20,1,3,1975,11,4,1,4,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,66.38,1982,7,20,1,3,1975,11,4,1,4,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,31.765,1982,7,20,1,3,1975,11,4,1,4,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.6,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.6,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.6,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,83.88,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,110.55,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.55,1982,7,20,1,3,1977,2,15,1,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1977,2,17,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1977,2,14,0,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.7,1982,7,20,1,3,1977,2,14,0,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1983,4,19,1,2,1977,2,17,3,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.65,1982,7,20,1,3,1977,2,14,0,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.95,1982,7,20,1,3,1977,2,14,0,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,119.9,1982,7,20,1,3,1977,2,14,0,1,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,42.11,1982,7,20,1,3,1978,6,22,3,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,79.615,1982,7,20,1,3,1978,6,22,3,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,21.6,1982,7,20,1,3,1978,6,21,2,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,121.55,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,128.75,1982,7,20,1,3,1978,6,20,1,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,77.35,1982,7,20,1,3,1978,6,21,2,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,32.75,1982,7,20,1,3,1978,6,21,2,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1978,6,20,1,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.55,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,129.5,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,9.3,1982,7,20,1,3,1978,6,19,0,2,2026,6,30,1,2,1,1,0,1,0,0.0002
1.0,84.355,2006,6,20,1,2,1979,12,21,4,4,2026,12,31,3,4,1,1,0,1,0,0.0002
1.0,73.49,2006,6,20,1,2,1979,12,21,4,4,2026,12,31,3,4,1,1,0,1,0,0.0002
1.0,92.68,2006,6,20,1,2,1980,7,1,1,3,2026,12,31,3,4,1,1,0,1,0,0.0002
1.0,15.34,2006,6,20,1,2,1980,7,1,1,3,2026,12,31,3,4,1,1,0,1,0,0.0002
1.0,8.0,2022,9,16,4,3,2021,1,7,3,1,2027,9,15,2,3,1,0,1,0,1,0.0002
1.0,4.0,2003,5,29,3,2,1998,11,30,0,4,2026,5,28,3,2,1,0,1,0,1,0.0002
1.0,20.0,2017,4,24,0,2,2000,6,8,3,2,2026,4,23,3,2,1,0,1,0,1,0.0002
1.0,22.0,2003,5,30,4,2,2002,4,24,2,2,2026,5,29,4,2,1,0,1,0,1,0.0002
3.0,15.0,2005,8,8,0,3,2004,3,5,4,1,2025,8,7,3,3,1,0,1,0,1,0.0002
1.0,35.0,2006,4,20,3,2,2005,5,13,4,2,2026,4,19,6,2,1,0,1,0,1,0.0002
1.0,12.0,2007,8,10,4,3,2006,3,27,0,1,2027,8,9,0,3,1,0,1,0,1,0.0002
1.0,42.0,2007,9,4,1,3,2006,6,29,3,2,2027,9,3,4,3,1,0,1,0,1,0.0002
1.0,5.0,2007,11,5,0,4,2007,1,22,0,1,2027,11,4,3,4,1,0,1,0,1,0.0002
1.0,21.0,2009,3,4,2,1,2007,12,10,0,4,2027,3,3,2,1,1,0,1,0,1,0.0002
1.0,19.0,2011,6,13,0,2,2009,3,9,0,1,2027,6,12,5,2,1,0,1,0,1,0.0002
1.0,7.0,2011,4,18,0,2,2009,3,9,0,1,2027,4,17,5,2,1,0,1,0,1,0.0002
2.0,22.0,2010,12,3,4,4,2009,8,7,4,3,2026,12,2,2,4,1,0,1,0,1,0.0002
3.0,48.0,2015,9,1,1,3,2009,10,16,4,4,2027,8,31,1,3,1,0,1,0,1,0.0002
1.0,82.0,2011,7,4,0,3,2009,12,4,4,4,2027,7,3,5,3,1,0,1,0,1,0.0002
1.0,8.0,2014,7,11,4,3,2010,5,4,1,2,2026,7,10,4,3,1,0,1,0,1,0.0002
2.0,13.0,2012,7,19,3,3,2010,9,22,2,3,2026,7,18,5,3,1,0,1,0,1,0.0002
1.0,80.0,2011,9,5,0,3,2010,12,22,2,4,2027,9,4,5,3,1,0,1,0,1,0.0002
1.0,27.0,2013,3,22,4,1,2010,12,22,2,4,2027,3,21,6,1,1,0,1,0,1,0.0002
1.0,26.0,2013,2,21,3,1,2011,12,22,3,4,2027,2,20,5,1,1,0,1,0,1,0.0002
1.0,1.0,2023,6,8,3,2,2012,6,25,0,2,2028,6,7,2,2,1,0,1,0,1,0.0002
1.0,8.0,2023,6,8,3,2,2012,6,25,0,2,2028,6,7,2,2,1,0,1,0,1,0.0002
1.0,83.0,2017,2,21,1,1,2013,2,15,4,1,2027,2,20,5,1,1,0,1,0,1,0.0002
