iso_code,country,sex_ratio_trend,decade,sex_ratio_infant,sex_ratio_child,sex_ratio_under5,imr_male,imr_female,imr_both,cmr_male,cmr_female,cmr_both,u5mr_male,u5mr_female,u5mr_both,method,decade_num,has_trend,infant_child_ratio,under5_child_ratio,imr_sex_gap,u5mr_sex_gap,method_Average,method_Linear,method_Loess,country_freq,region,region_East Asia & Pacific,region_Europe & Central Asia,region_Middle East & South Asia,region_Northern Africa,region_Oceania,region_Sub-Saharan Africa
4,Afghanistan,N,1970s,107.0,100.0,104,209.7,195.8,203.0,125.7,125.9,124.94999999999999,309.0,297.0,303.2,Average,1970,0,1.6246498599439778,2.4265706282513007,13.899999999999977,12.0,True,False,False,4,Northern Africa,False,False,False,True,False,False
4,Afghanistan,N,1980s,107.0,100.0,104,183.3,171.1,177.4,107.4,107.8,107.6,270.9,260.4,265.8,Average,1980,0,1.6486988847583643,2.4702602230483275,12.200000000000017,10.5,True,False,False,4,Northern Africa,False,False,False,True,False,False
4,Afghanistan,N,1990s,107.0,99.0,104,162.3,151.5,157.1,92.8,93.3,93.0,240.0,230.7,235.5,Average,1990,0,1.689247311827957,2.532258064516129,10.800000000000011,9.300000000000011,True,False,False,4,Northern Africa,False,False,False,True,False,False
4,Afghanistan,N,2000s,107.0,99.0,104,144.5,134.9,139.8,79.6,80.3,80.0,212.6,204.4,208.6,Average,2000,0,1.7475,2.6075,9.599999999999994,8.199999999999989,True,False,False,4,Northern Africa,False,False,False,True,False,False
8,Albania,Y,1980s,110.0,89.0,107,43.0,39.1,41.1,6.8,7.6,7.2,49.5,46.4,48.0,Linear,1980,1,5.708333333333333,6.666666666666666,3.8999999999999986,3.1000000000000014,False,True,False,3,Northern Africa,False,False,False,True,False,False
8,Albania,Y,1990s,110.0,109.0,110,32.2,29.1,30.7,4.7,4.3,4.5,36.7,33.4,35.1,Linear,1990,1,6.822222222222222,7.800000000000001,3.1000000000000014,3.3000000000000043,False,True,False,3,Northern Africa,False,False,False,True,False,False
8,Albania,Y,2000s,111.0,140.0,114,21.3,19.2,20.3,3.0,2.1,2.6,24.2,21.3,22.8,Linear,2000,1,7.8076923076923075,8.76923076923077,2.1000000000000014,2.8999999999999986,False,True,False,3,Northern Africa,False,False,False,True,False,False
12,Algeria,Y,1970s,107.0,91.0,102,122.6,114.2,118.5,56.1,61.7,58.9,171.7,168.8,170.3,Linear,1970,1,2.01188455008489,2.8913412563667236,8.399999999999991,2.8999999999999773,False,True,False,4,Northern Africa,False,False,False,True,False,False
12,Algeria,Y,1980s,108.0,104.0,107,62.6,57.8,60.2,30.8,30.0,30.4,91.4,86.0,88.7,Linear,1980,1,1.980263157894737,2.917763157894737,4.800000000000004,5.400000000000006,False,True,False,4,Northern Africa,False,False,False,True,False,False
12,Algeria,Y,1990s,109.0,117.0,111,41.1,37.6,39.4,15.6,13.3,14.5,56.0,50.4,53.3,Linear,1990,1,2.717241379310345,3.6758620689655173,3.5,5.600000000000001,False,True,False,4,Northern Africa,False,False,False,True,False,False
