state_Qld,state_NSW,state_NT,state_WA,state_Vic,state_SA,state_Tas,state_ACT,tenure_PRIV,tenure_LEASE,tenure_NCR,tenure_OCL,tenure_MUF,tenure_ND,prior_burns,pixel_count,fires,fire_rate
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,18,0,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,26,0,0.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,6,0,0.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,10,0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,108,0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,257,0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,78,0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,105,0,0.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,124,0,0.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,17,0,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,123,0,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,185,0,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,14,0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24,0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,127,0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,275,0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,67,1,0.014925373134328358
