name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,na_sales_share,eu_sales_share,jp_sales_share,other_sales_share,platform_era,is_top_publisher,publisher_games_count,name_length,decade,genre_Action,genre_Adventure,genre_Fighting,genre_Misc,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,platform_era_6th Gen,platform_era_7th Gen,platform_era_8th Gen,platform_era_Other,platform_era_PC,platform_era_Retro,platform_freq
Wii Sports,Wii,2006,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5014503263234228,0.3507372492144066,0.045564418660865365,0.10224800580130532,7th Gen,1,702,10,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1324
Super Mario Bros.,NES,1985,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.7226640159045725,0.0889662027833002,0.169234592445328,0.019135188866799203,Retro,1,702,17,1980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,98
Mario Kart Wii,Wii,2008,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4424902289223897,0.3595756560580681,0.1058068118369626,0.09240647682858738,7th Gen,1,702,14,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1324
Wii Sports Resort,Wii,2009,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4772727272727273,0.3336363636363636,0.09939393939393938,0.08969696969696969,7th Gen,1,702,17,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1324
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.35926043991074275,0.28339177558176604,0.32578897035384125,0.031877590054191905,Retro,1,702,24,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,98
Tetris,GB,1989,Puzzle,Nintendo,0.6,0.275,0.1,0.1,1.085,0.7666886979510905,0.07468605419695967,0.13945803040317248,0.019167217448777262,Retro,1,702,6,1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,98
New Super Mario Bros.,DS,2006,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.37920693102299236,0.30756414528490506,0.2165944685104965,0.09663445518160613,Other,1,702,21,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2163
Wii Play,Wii,2006,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.48345968297725705,0.31702274293590627,0.10096485182632668,0.09820813232253618,7th Gen,1,702,8,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5097833682739343,0.246680642907058,0.1642208245981831,0.07896575821104122,7th Gen,1,702,25,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Duck Hunt,NES,1984,Shooter,Nintendo,0.6,0.275,0.1,0.1,1.085,0.9512539738608266,0.022253620628753093,0.009890498057223597,0.01660190745319675,Retro,1,702,9,1980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,98
