id,brand,model,variant,series,year,decade,price,price_bracket,kilometers,odometer_category,type,gearbox,fuel,status,cc,color,seating_capacity
11530130,Toyota,Rukus,Build 2,AZE151R,2010,2010s,9999.0,budget,263000.0,very_high,Wagon,Automatic,Unleaded Petrol,Used,2362.0,Grey,5
12190570,Mercedes-Benz,V,250 D Avantgarde MWB,447 MY21,2021,2020s,117990.0,luxury,19.0,low,Wagon,Automatic,Diesel,New In Stock,2143.0,Black,7
12321855,Mercedes-Benz,Valente,116 CDI MWB RWD,447 MY21,2021,2020s,79990.0,premium,24.0,low,Wagon,Automatic,Diesel,New In Stock,2143.0,Black,8
12346971,Mercedes-Benz,E250,CDI Avantgarde,207,2010,2010s,34990.0,mid_range,120579.0,high,Cabriolet,Automatic,Diesel,Used,2143.0,Black,4
12363884,Holden,Cruze,CD,JH MY16,2016,2010s,15990.0,economy,72506.0,average,Sportswagon,Automatic,Unleaded Petrol,Used,1796.0,White,5
12366036,Nissan,X-Trail,ST (4WD),T32 Series 2,2017,2010s,26800.0,economy,121870.0,high,Wagon,Automatic,Unleaded Petrol,Used,2488.0,White,5
12370057,Ford,Territory,TX (rwd),SZ MK2,2016,2010s,23990.0,economy,154136.0,high,Wagon,Automatic,Diesel,Used,2720.0,White,5
12381448,Bmw,325I,Exclusive,E90 MY11,2011,2010s,18990.0,economy,117306.0,average,Sedan,Automatic,Premium Unleaded Petrol,Used,2497.0,Grey,5
12382945,Holden,Statesman,International,WL,2005,2000s,15490.0,economy,172151.0,high,Sedan,Automatic,Unleaded Petrol,Used,5665.0,Blue,5
12382946,Holden,Commodore,Berlina,Vyii,2003,2000s,15490.0,economy,186990.0,high,Sedan,Automatic,Unleaded Petrol,Used,5665.0,Green,5
12382955,Isuzu,D-MAX,SX (4X2),TF MY15,2015,2010s,15490.0,economy,231907.0,very_high,Cab Chassis,Manual,Diesel,Used,2999.0,White,2
12382958,Ford,Focus,Ambiente,LW MK2,2013,2010s,12490.0,budget,64109.0,average,Hatchback,Manual,Unleaded Petrol,Used,1596.0,Black,5
12403536,Hyundai,Elantra,Active,MD2,2013,2010s,13500.0,budget,84500.0,average,Sedan,Automatic,Unleaded Petrol,Used,1796.0,White,5
